Date;Europe Brent Spot Price FOB (Dollars per Barrel)
may-1987;18.58
jun-1987;18.86
jul-1987;19.86
ago-1987;18.98
sep-1987;18.31
oct-1987;18.76
nov-1987;17.78
dic-1987;17.05
ene-1988;16.75
feb-1988;15.73
mar-1988;14.73
abr-1988;16.6
may-1988;16.31
jun-1988;15.54
jul-1988;14.91
ago-1988;14.89
sep-1988;13.18
oct-1988;12.41
nov-1988;13.02
dic-1988;15.31
ene-1989;17.17
feb-1989;16.89
mar-1989;18.7
abr-1989;20.32
may-1989;18.63
jun-1989;17.67
jul-1989;17.62
ago-1989;16.77
sep-1989;17.77
oct-1989;18.91
nov-1989;18.73
dic-1989;19.84
ene-1990;21.25
feb-1990;19.81
mar-1990;18.39
abr-1990;16.61
may-1990;16.35
jun-1990;15.1
jul-1990;17.17
ago-1990;27.17
sep-1990;34.9
oct-1990;36.02
nov-1990;33.07
dic-1990;28.27
ene-1991;23.57
feb-1991;19.54
mar-1991;19.08
abr-1991;19.18
may-1991;19.19
jun-1991;18.17
jul-1991;19.4
ago-1991;19.77
sep-1991;20.5
oct-1991;22.21
nov-1991;21.11
dic-1991;18.41
ene-1992;18.16
feb-1992;18.05
mar-1992;17.63
abr-1992;18.92
may-1992;19.89
jun-1992;21.16
jul-1992;20.24
ago-1992;19.74
sep-1992;20.27
oct-1992;20.26
nov-1992;19.21
dic-1992;18.14
ene-1993;17.39
feb-1993;18.47
mar-1993;18.79
abr-1993;18.67
may-1993;18.51
jun-1993;17.65
jul-1993;16.78
ago-1993;16.7
sep-1993;16.01
oct-1993;16.61
nov-1993;15.2
dic-1993;13.73
ene-1994;14.29
feb-1994;13.8
mar-1994;13.82
abr-1994;15.23
may-1994;16.19
jun-1994;16.76
jul-1994;17.6
ago-1994;16.89
sep-1994;15.9
oct-1994;16.49
nov-1994;17.19
dic-1994;15.93
ene-1995;16.55
feb-1995;17.11
mar-1995;17.01
abr-1995;18.65
may-1995;18.35
jun-1995;17.31
jul-1995;15.85
ago-1995;16.1
sep-1995;16.7
oct-1995;16.11
nov-1995;16.86
dic-1995;17.93
ene-1996;17.85
feb-1996;18
mar-1996;19.85
abr-1996;20.9
may-1996;19.15
jun-1996;18.46
jul-1996;19.57
ago-1996;20.51
sep-1996;22.63
oct-1996;24.16
nov-1996;22.76
dic-1996;23.78
ene-1997;23.54
feb-1997;20.85
mar-1997;19.13
abr-1997;17.56
may-1997;19.02
jun-1997;17.58
jul-1997;18.46
ago-1997;18.6
sep-1997;18.46
oct-1997;19.87
nov-1997;19.17
dic-1997;17.18
ene-1998;15.19
feb-1998;14.07
mar-1998;13.1
abr-1998;13.53
may-1998;14.36
jun-1998;12.21
jul-1998;12.08
ago-1998;11.91
sep-1998;13.34
oct-1998;12.7
nov-1998;11.04
dic-1998;9.82
ene-1999;11.11
feb-1999;10.27
mar-1999;12.51
abr-1999;15.29
may-1999;15.23
jun-1999;15.86
jul-1999;19.08
ago-1999;20.22
sep-1999;22.54
oct-1999;22
nov-1999;24.58
dic-1999;25.47
ene-2000;25.51
feb-2000;27.78
mar-2000;27.49
abr-2000;22.76
may-2000;27.74
jun-2000;29.8
jul-2000;28.68
ago-2000;30.2
sep-2000;33.14
oct-2000;30.96
nov-2000;32.55
dic-2000;25.66
