Month,Output of Copper Products Current Period(10000 tons),Output of Copper Products Accumulated(10000 tons),Output of Copper Products Growth Rate (The same period last year=100)(%),Output of Copper Products Accumulated Growth Rate(%)
Jul 2021,183.0,1187.9,-5.6,0.5
Jun 2021,189.3,1017.8,-12.9,-1.3
May 2021,183.8,820.6,-10.3,3.5
Apr 2021,189.6,652.9,-5.9,10.2
Mar 2021,181.5,451.6,-2.9,14.8
Feb 2021,,264.6,,22.0
Jan 2021,,,,
Dec 2020,192.1,2045.5,-17.3,0.9
Nov 2020,191.4,1927.5,-0.7,9.0
Oct 2020,176.8,1633.8,3.3,5.6
Sep 2020,181.4,1473.9,-14.3,-8.9
Aug 2020,194.9,1376.2,20.1,12.2
Jul 2020,187.6,1116.2,14.2,3.4
Jun 2020,198.2,939.7,17.2,6.1
May 2020,187.7,741.2,15.3,4.3
Apr 2020,185.4,545.9,21.6,1.2
Mar 2020,179.9,366.8,8.2,-5.9
Feb 2020,,211.7,,-8.3
Jan 2020,,,,
Dec 2019,229.3,2017.2,32.3,12.6
Nov 2019,192.4,1774.8,17.2,10.7
Oct 2019,171.9,1586.1,18.0,9.8
Sep 2019,175.6,1429.7,11.1,9.3
Aug 2019,169.8,1296.0,5.2,9.5
Jul 2019,168.5,1128.7,2.2,8.9
Jun 2019,175.1,905.8,13.4,12.7
May 2019,156.8,684.7,9.9,11.7
Apr 2019,147.7,530.9,5.3,14.8
Mar 2019,155.8,366.1,14.2,14.4
Feb 2019,,211.0,,14.6
Jan 2019,,,,
Dec 2018,161.3,1715.5,15.5,14.5
Nov 2018,156.3,1561.1,9.4,14.6
Oct 2018,138.8,1391.2,1.7,11.2
Sep 2018,151.8,1249.4,4.6,12.0
Aug 2018,148.3,1091.6,13.4,12.7
Jul 2018,148.6,940.5,14.9,11.8
Jun 2018,157.2,795.8,12.8,11.4
May 2018,148.0,645.7,7.5,9.7
Apr 2018,153.2,515.0,13.1,11.6
Mar 2018,157.9,367.0,8.2,10.5
Feb 2018,,242.1,,20.0
Jan 2018,,,,
Dec 2017,165.5,1861.7,3.7,6.9
Nov 2017,181.7,1764.5,6.8,5.3
Oct 2017,174.6,1635.5,6.5,3.3
Sep 2017,180.8,1542.9,4.0,5.0
Aug 2017,180.1,1395.9,5.9,7.1
Jul 2017,177.3,1217.6,2.0,8.0
Jun 2017,198.8,1013.9,2.5,7.7
May 2017,185.8,821.3,6.1,9.4
Apr 2017,177.7,633.5,8.5,9.7
Mar 2017,193.6,455.7,16.0,11.9
Feb 2017,,274.0,,14.1
Jan 2017,,,,
Dec 2016,199.9,2096.0,6.8,12.5
Nov 2016,195.2,1887.9,7.6,12.9
Oct 2016,181.7,1766.3,4.8,18.1
Sep 2016,180.8,1524.9,9.2,14.1
Aug 2016,171.9,1313.9,11.8,12.7
Jul 2016,175.8,1139.3,13.3,12.9
Jun 2016,202.0,968.2,18.8,13.0
May 2016,179.7,764.9,11.5,10.5
Apr 2016,167.6,587.6,3.3,9.9
Mar 2016,170.8,417.8,13.8,11.4
Feb 2016,,241.4,,8.5
Jan 2016,,,,
Dec 2015,192.4,1913.5,12.1,7.1
Nov 2015,185.7,1723.7,19.7,8.4
Oct 2015,178.0,1552.9,16.3,8.2
Sep 2015,169.4,1365.5,10.9,6.5
Aug 2015,156.2,1191.5,8.2,5.8
Jul 2015,157.3,1029.7,7.8,4.8
Jun 2015,173.4,876.0,8.2,4.2
May 2015,162.7,700.2,6.7,4.4
Apr 2015,164.0,538.7,10.7,4.4
Mar 2015,152.4,380.5,-1.2,2.1
Feb 2015,97.4,228.3,-9.4,2.0
Jan 2015,,,,
Dec 2014,168.2,1783.7,10.7,13.3
Nov 2014,151.5,1583.0,-2.2,11.6
Oct 2014,150.9,1435.9,3.7,13.5
Sep 2014,149.4,1279.4,6.0,14.2
Aug 2014,142.0,1130.7,6.2,15.6
Jul 2014,143.8,985.3,9.4,16.2
Jun 2014,158.8,844.4,9.3,17.1
May 2014,149.4,670.9,13.4,17.8
Apr 2014,144.5,504.3,21.6,20.5
Mar 2014,147.5,362.7,13.7,13.2
Feb 2014,,213.8,,5.8
Jan 2014,,,,
Dec 2013,146.0,1498.6,28.2,25.2
Nov 2013,145.1,1340.8,35.0,23.7
Oct 2013,134.1,1194.8,28.0,22.3
Sep 2013,130.5,1061.4,23.8,22.6
Aug 2013,125.3,927.5,23.8,22.5
Jul 2013,123.1,801.2,23.3,21.6
Jun 2013,136.8,685.1,23.2,21.8
May 2013,122.2,543.7,20.0,21.2
Apr 2013,116.7,425.3,17.3,18.2
Mar 2013,125.2,308.1,16.9,18.3
Feb 2013,,184.2,,15.8
Jan 2013,,,,
Dec 2012,111.7,1168.0,13.6,11.0
Nov 2012,106.1,1068.0,9.7,10.9
Oct2012,102.1,954.8,13.6,10.9
Sep 2012,103.5,851.9,6.2,9.7
Aug 2012,98.8,744.7,7.7,11.1
Jul 2012,96.9,646.5,6.8,10.2
Jun2012,125.1,588.6,25.5,17.0
May 2012,98.6,440.2,6.6,10.5
Apr 2012,99.3,360.6,12.0,17.1
Mar 2012,104.5,260.2,17.0,18.7
Feb 2012,91.5,158.3,47.1,18.7
Jan 2012,,,,
Dec 2011,102.7,1110.6,11.6,18.6
Nov 2011,105.5,1008.7,11.6,19.0
Oct 2011,98.6,905.6,22.3,20.3
