Día semana,Fecha,Valor ($/TM),Diferencia ($)
Jueves,1993-07-01,1916.5,0
Viernes,1993-07-02,1924.5,8
Lunes,1993-07-05,1932.5,8
Martes,1993-07-06,1949.25,16.75
Miércoles,1993-07-07,1945.25,-4
Jueves,1993-07-08,1964.5,19.25
Viernes,1993-07-09,1978.75,14.25
Lunes,1993-07-12,1937.5,-41.25
Martes,1993-07-13,1895.75,-41.75
Miércoles,1993-07-14,1898.75,3
Jueves,1993-07-15,1921.5,22.75
Viernes,1993-07-16,1908.5,-13
Lunes,1993-07-19,1888.5,-20
Martes,1993-07-20,1895.5,7
Miércoles,1993-07-21,1903.25,7.75
Jueves,1993-07-22,1892.25,-11
Viernes,1993-07-23,1905.25,13
Lunes,1993-07-26,1929.5,24.25
Martes,1993-07-27,1924.5,-5
Miércoles,1993-07-28,1946.5,22
Jueves,1993-07-29,1960.5,14
Viernes,1993-07-30,1969.75,9.25
Lunes,1993-08-02,1965.25,-4.5
Martes,1993-08-03,1941.25,-24
Miércoles,1993-08-04,1936.75,-4.5
Jueves,1993-08-05,1957.5,20.75
Viernes,1993-08-06,1963.5,6
Lunes,1993-08-09,1961.5,-2
Martes,1993-08-10,1906.5,-55
Miércoles,1993-08-11,1934.75,28.25
Jueves,1993-08-12,1923.5,-11.25
Viernes,1993-08-13,1937.5,14
Lunes,1993-08-16,1931.5,-6
Martes,1993-08-17,1943.5,12
Miércoles,1993-08-18,1923.5,-20
Jueves,1993-08-19,1923.75,0.25
Viernes,1993-08-20,1937.25,13.5
Lunes,1993-08-23,1936.5,-0.75
Martes,1993-08-24,1985.5,49
Miércoles,1993-08-25,1982.5,-3
Jueves,1993-08-26,1958.75,-23.75
Viernes,1993-08-27,1962.5,3.75
Lunes,1993-08-30,1962.5,0
Martes,1993-08-31,1974.5,12
Miércoles,1993-09-01,1967.5,-7
Jueves,1993-09-02,1977.5,10
Viernes,1993-09-03,1995.75,18.25
Lunes,1993-09-06,1995.5,-0.25
Martes,1993-09-07,2008,12.5
Miércoles,1993-09-08,1991.5,-16.5
Jueves,1993-09-09,1966.5,-25
Viernes,1993-09-10,1948,-18.5
Lunes,1993-09-13,1950.25,2.25
Martes,1993-09-14,1898.5,-51.75
Miércoles,1993-09-15,1919,20.5
