fecha,periodo,gdp_pc_eu,gdp_pc_usa,gdp_chi
1995-01-01,Q1-1995,17434.5,28344.5,1.21117e+12
1995-04-01,Q2-1995,17694.4,28484.8,1.46129e+12
1995-07-01,Q3-1995,17847.3,28775.7,1.61641e+12
1995-10-01,Q4-1995,18016.8,29021.7,1.84512e+12
1996-01-01,Q1-1996,18097.5,29306.7,1.4628e+12
1996-04-01,Q2-1996,18297.8,29834,1.71475e+12
1996-07-01,Q3-1996,18433.3,30102.1,1.86058e+12
1996-10-01,Q4-1996,18568.7,30479.9,2.14324e+12
1997-01-01,Q1-1997,18728.1,30778,1.66891e+12
1997-04-01,Q2-1997,18986.3,31263.2,1.91636e+12
1997-07-01,Q3-1997,19222,31686.6,2.05009e+12
1997-10-01,Q4-1997,19537.8,31963.7,2.33615e+12
1998-01-01,Q1-1998,19764.2,32247.6,1.80491e+12
1998-04-01,Q2-1998,19932.8,32533.9,2.02966e+12
1998-07-01,Q3-1998,20141.3,32980.1,2.17756e+12
1998-10-01,Q4-1998,20211.2,33503.9,2.50742e+12
1999-01-01,Q1-1999,20425.5,33842.4,1.93619e+12
1999-04-01,Q2-1999,20584.8,34160.8,2.15677e+12
1999-07-01,Q3-1999,20875.7,34625.9,2.30508e+12
1999-10-01,Q4-1999,21236.2,35283.1,2.65839e+12
2000-01-01,Q1-2000,21669.7,35556.5,2.13299e+12
2000-04-01,Q2-2000,22033.2,36339.2,2.40434e+12
2000-07-01,Q3-2000,22291.8,36489.7,2.57125e+12
2000-10-01,Q4-2000,22566.8,36808,2.91943e+12
2001-01-01,Q1-2001,22914.7,36845.1,2.40864e+12
2001-04-01,Q2-2001,23120.1,37210.6,2.67266e+12
2001-07-01,Q3-2001,23329.6,37110,2.83333e+12
2001-10-01,Q4-2001,23558.2,37233.9,3.17168e+12
2002-01-01,Q1-2002,23856.9,37581.7,2.6295e+12
2002-04-01,Q2-2002,24171.8,37859.7,2.91948e+12
2002-07-01,Q3-2002,24426,38098.9,3.12573e+12
2002-10-01,Q4-2002,24563.9,38273.9,3.49703e+12
2003-01-01,Q1-2003,24531.1,38583.5,2.98255e+12
2003-04-01,Q2-2003,24563.2,38975.5,3.25373e+12
