"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INDPROD","TOT","IDX2015","M","1955-01",10.77632,
"AUT","INDPROD","TOT","IDX2015","M","1955-02",10.78801,
"AUT","INDPROD","TOT","IDX2015","M","1955-03",10.76516,
"AUT","INDPROD","TOT","IDX2015","M","1955-04",11.03025,
"AUT","INDPROD","TOT","IDX2015","M","1955-05",10.89821,
"AUT","INDPROD","TOT","IDX2015","M","1955-06",11.13183,
"AUT","INDPROD","TOT","IDX2015","M","1955-07",11.25446,
"AUT","INDPROD","TOT","IDX2015","M","1955-08",11.31649,
"AUT","INDPROD","TOT","IDX2015","M","1955-09",11.4254,
"AUT","INDPROD","TOT","IDX2015","M","1955-10",11.4003,
"AUT","INDPROD","TOT","IDX2015","M","1955-11",11.64012,
"AUT","INDPROD","TOT","IDX2015","M","1955-12",11.92547,
"AUT","INDPROD","TOT","IDX2015","M","1956-01",11.5112,
"AUT","INDPROD","TOT","IDX2015","M","1956-02",11.62983,
"AUT","INDPROD","TOT","IDX2015","M","1956-03",11.50836,
"AUT","INDPROD","TOT","IDX2015","M","1956-04",11.56554,
"AUT","INDPROD","TOT","IDX2015","M","1956-05",11.64277,
"AUT","INDPROD","TOT","IDX2015","M","1956-06",11.6491,
"AUT","INDPROD","TOT","IDX2015","M","1956-07",11.77318,
"AUT","INDPROD","TOT","IDX2015","M","1956-08",12.05851,
"AUT","INDPROD","TOT","IDX2015","M","1956-09",11.99923,
"AUT","INDPROD","TOT","IDX2015","M","1956-10",11.98307,
"AUT","INDPROD","TOT","IDX2015","M","1956-11",12.05365,
"AUT","INDPROD","TOT","IDX2015","M","1956-12",11.90337,
"AUT","INDPROD","TOT","IDX2015","M","1957-01",12.10722,
"AUT","INDPROD","TOT","IDX2015","M","1957-02",12.03209,
"AUT","INDPROD","TOT","IDX2015","M","1957-03",12.31886,
"AUT","INDPROD","TOT","IDX2015","M","1957-04",12.26154,
"AUT","INDPROD","TOT","IDX2015","M","1957-05",12.4979,
"AUT","INDPROD","TOT","IDX2015","M","1957-06",12.42815,
"AUT","INDPROD","TOT","IDX2015","M","1957-07",12.49379,
"AUT","INDPROD","TOT","IDX2015","M","1957-08",12.56583,
"AUT","INDPROD","TOT","IDX2015","M","1957-09",12.75031,
"AUT","INDPROD","TOT","IDX2015","M","1957-10",12.5641,
"AUT","INDPROD","TOT","IDX2015","M","1957-11",12.62395,
"AUT","INDPROD","TOT","IDX2015","M","1957-12",12.63206,
"AUT","INDPROD","TOT","IDX2015","M","1958-01",12.85627,
"AUT","INDPROD","TOT","IDX2015","M","1958-02",12.84776,
"AUT","INDPROD","TOT","IDX2015","M","1958-03",12.68502,
"AUT","INDPROD","TOT","IDX2015","M","1958-04",12.63052,
"AUT","INDPROD","TOT","IDX2015","M","1958-05",12.70352,
"AUT","INDPROD","TOT","IDX2015","M","1958-06",12.75039,
"AUT","INDPROD","TOT","IDX2015","M","1958-07",12.98443,
"AUT","INDPROD","TOT","IDX2015","M","1958-08",12.60701,
"AUT","INDPROD","TOT","IDX2015","M","1958-09",12.55871,
"AUT","INDPROD","TOT","IDX2015","M","1958-10",12.94357,
"AUT","INDPROD","TOT","IDX2015","M","1958-11",12.69548,
"AUT","INDPROD","TOT","IDX2015","M","1958-12",12.8416,
"AUT","INDPROD","TOT","IDX2015","M","1959-01",12.97561,
"AUT","INDPROD","TOT","IDX2015","M","1959-02",12.9535,
"AUT","INDPROD","TOT","IDX2015","M","1959-03",12.66627,
"AUT","INDPROD","TOT","IDX2015","M","1959-04",13.50639,
"AUT","INDPROD","TOT","IDX2015","M","1959-05",13.62449,
"AUT","INDPROD","TOT","IDX2015","M","1959-06",13.45816,
"AUT","INDPROD","TOT","IDX2015","M","1959-07",13.50725,
"AUT","INDPROD","TOT","IDX2015","M","1959-08",13.664,
"AUT","INDPROD","TOT","IDX2015","M","1959-09",13.58651,
"AUT","INDPROD","TOT","IDX2015","M","1959-10",13.84509,
"AUT","INDPROD","TOT","IDX2015","M","1959-11",13.87439,
"AUT","INDPROD","TOT","IDX2015","M","1959-12",14.15727,
"AUT","INDPROD","TOT","IDX2015","M","1960-01",14.22868,
"AUT","INDPROD","TOT","IDX2015","M","1960-02",14.30574,
"AUT","INDPROD","TOT","IDX2015","M","1960-03",14.55575,
"AUT","INDPROD","TOT","IDX2015","M","1960-04",14.67175,
"AUT","INDPROD","TOT","IDX2015","M","1960-05",14.78404,
"AUT","INDPROD","TOT","IDX2015","M","1960-06",14.86588,
"AUT","INDPROD","TOT","IDX2015","M","1960-07",14.93266,
"AUT","INDPROD","TOT","IDX2015","M","1960-08",15.18568,
"AUT","INDPROD","TOT","IDX2015","M","1960-09",15.01161,
"AUT","INDPROD","TOT","IDX2015","M","1960-10",15.15993,
"AUT","INDPROD","TOT","IDX2015","M","1960-11",15.56433,
"AUT","INDPROD","TOT","IDX2015","M","1960-12",15.63407,
"AUT","INDPROD","TOT","IDX2015","M","1961-01",15.0505,
"AUT","INDPROD","TOT","IDX2015","M","1961-02",15.45165,
"AUT","INDPROD","TOT","IDX2015","M","1961-03",15.61535,
"AUT","INDPROD","TOT","IDX2015","M","1961-04",15.46015,
"AUT","INDPROD","TOT","IDX2015","M","1961-05",15.35575,
"AUT","INDPROD","TOT","IDX2015","M","1961-06",15.41885,
"AUT","INDPROD","TOT","IDX2015","M","1961-07",15.66383,
"AUT","INDPROD","TOT","IDX2015","M","1961-08",15.32492,
"AUT","INDPROD","TOT","IDX2015","M","1961-09",15.71884,
"AUT","INDPROD","TOT","IDX2015","M","1961-10",15.64342,
"AUT","INDPROD","TOT","IDX2015","M","1961-11",15.55715,
"AUT","INDPROD","TOT","IDX2015","M","1961-12",15.92305,
"AUT","INDPROD","TOT","IDX2015","M","1962-01",15.67533,
"AUT","INDPROD","TOT","IDX2015","M","1962-02",16.00349,
"AUT","INDPROD","TOT","IDX2015","M","1962-03",15.8663,
"AUT","INDPROD","TOT","IDX2015","M","1962-04",16.14535,
"AUT","INDPROD","TOT","IDX2015","M","1962-05",15.42524,
"AUT","INDPROD","TOT","IDX2015","M","1962-06",15.93124,
"AUT","INDPROD","TOT","IDX2015","M","1962-07",15.94511,
"AUT","INDPROD","TOT","IDX2015","M","1962-08",16.0133,
"AUT","INDPROD","TOT","IDX2015","M","1962-09",16.26229,
"AUT","INDPROD","TOT","IDX2015","M","1962-10",16.04764,
"AUT","INDPROD","TOT","IDX2015","M","1962-11",16.02773,
"AUT","INDPROD","TOT","IDX2015","M","1962-12",15.93254,
"AUT","INDPROD","TOT","IDX2015","M","1963-01",16.04698,
"AUT","INDPROD","TOT","IDX2015","M","1963-02",15.93683,
"AUT","INDPROD","TOT","IDX2015","M","1963-03",16.31495,
"AUT","INDPROD","TOT","IDX2015","M","1963-04",16.37062,
"AUT","INDPROD","TOT","IDX2015","M","1963-05",16.53517,
"AUT","INDPROD","TOT","IDX2015","M","1963-06",16.98137,
"AUT","INDPROD","TOT","IDX2015","M","1963-07",16.44907,
"AUT","INDPROD","TOT","IDX2015","M","1963-08",16.97931,
"AUT","INDPROD","TOT","IDX2015","M","1963-09",16.98744,
"AUT","INDPROD","TOT","IDX2015","M","1963-10",17.01341,
"AUT","INDPROD","TOT","IDX2015","M","1963-11",17.56394,
"AUT","INDPROD","TOT","IDX2015","M","1963-12",16.8044,
"AUT","INDPROD","TOT","IDX2015","M","1964-01",17.59755,
"AUT","INDPROD","TOT","IDX2015","M","1964-02",17.87647,
"AUT","INDPROD","TOT","IDX2015","M","1964-03",17.64926,
"AUT","INDPROD","TOT","IDX2015","M","1964-04",17.49035,
"AUT","INDPROD","TOT","IDX2015","M","1964-05",18.56052,
"AUT","INDPROD","TOT","IDX2015","M","1964-06",17.68505,
"AUT","INDPROD","TOT","IDX2015","M","1964-07",18.10371,
"AUT","INDPROD","TOT","IDX2015","M","1964-08",18.08105,
"AUT","INDPROD","TOT","IDX2015","M","1964-09",17.92297,
"AUT","INDPROD","TOT","IDX2015","M","1964-10",18.27649,
"AUT","INDPROD","TOT","IDX2015","M","1964-11",18.21185,
"AUT","INDPROD","TOT","IDX2015","M","1964-12",18.17164,
"AUT","INDPROD","TOT","IDX2015","M","1965-01",19.11773,
"AUT","INDPROD","TOT","IDX2015","M","1965-02",18.46248,
"AUT","INDPROD","TOT","IDX2015","M","1965-03",18.22778,
"AUT","INDPROD","TOT","IDX2015","M","1965-04",18.41824,
"AUT","INDPROD","TOT","IDX2015","M","1965-05",18.57377,
"AUT","INDPROD","TOT","IDX2015","M","1965-06",18.74709,
"AUT","INDPROD","TOT","IDX2015","M","1965-07",18.84581,
"AUT","INDPROD","TOT","IDX2015","M","1965-08",18.94635,
"AUT","INDPROD","TOT","IDX2015","M","1965-09",19.1797,
"AUT","INDPROD","TOT","IDX2015","M","1965-10",19.12642,
"AUT","INDPROD","TOT","IDX2015","M","1965-11",19.20531,
"AUT","INDPROD","TOT","IDX2015","M","1965-12",18.31757,
"AUT","INDPROD","TOT","IDX2015","M","1966-01",19.3745,
"AUT","INDPROD","TOT","IDX2015","M","1966-02",19.40634,
"AUT","INDPROD","TOT","IDX2015","M","1966-03",19.50683,
"AUT","INDPROD","TOT","IDX2015","M","1966-04",19.55791,
"AUT","INDPROD","TOT","IDX2015","M","1966-05",19.49406,
"AUT","INDPROD","TOT","IDX2015","M","1966-06",19.55051,
"AUT","INDPROD","TOT","IDX2015","M","1966-07",19.73454,
"AUT","INDPROD","TOT","IDX2015","M","1966-08",19.07314,
"AUT","INDPROD","TOT","IDX2015","M","1966-09",19.62981,
"AUT","INDPROD","TOT","IDX2015","M","1966-10",20.09819,
"AUT","INDPROD","TOT","IDX2015","M","1966-11",19.76435,
"AUT","INDPROD","TOT","IDX2015","M","1966-12",20.38441,
"AUT","INDPROD","TOT","IDX2015","M","1967-01",19.56563,
"AUT","INDPROD","TOT","IDX2015","M","1967-02",19.57294,
"AUT","INDPROD","TOT","IDX2015","M","1967-03",19.63331,
"AUT","INDPROD","TOT","IDX2015","M","1967-04",20.04076,
"AUT","INDPROD","TOT","IDX2015","M","1967-05",19.81356,
"AUT","INDPROD","TOT","IDX2015","M","1967-06",19.68226,
"AUT","INDPROD","TOT","IDX2015","M","1967-07",19.71678,
"AUT","INDPROD","TOT","IDX2015","M","1967-08",19.12809,
"AUT","INDPROD","TOT","IDX2015","M","1967-09",19.79396,
"AUT","INDPROD","TOT","IDX2015","M","1967-10",19.86553,
"AUT","INDPROD","TOT","IDX2015","M","1967-11",19.83327,
"AUT","INDPROD","TOT","IDX2015","M","1967-12",20.74203,
"AUT","INDPROD","TOT","IDX2015","M","1968-01",20.25502,
"AUT","INDPROD","TOT","IDX2015","M","1968-02",20.163,
"AUT","INDPROD","TOT","IDX2015","M","1968-03",20.76663,
"AUT","INDPROD","TOT","IDX2015","M","1968-04",20.78726,
"AUT","INDPROD","TOT","IDX2015","M","1968-05",20.82509,
"AUT","INDPROD","TOT","IDX2015","M","1968-06",21.97723,
"AUT","INDPROD","TOT","IDX2015","M","1968-07",21.39908,
"AUT","INDPROD","TOT","IDX2015","M","1968-08",21.69134,
"AUT","INDPROD","TOT","IDX2015","M","1968-09",22.07678,
"AUT","INDPROD","TOT","IDX2015","M","1968-10",21.88025,
"AUT","INDPROD","TOT","IDX2015","M","1968-11",22.3946,
"AUT","INDPROD","TOT","IDX2015","M","1968-12",20.77059,
"AUT","INDPROD","TOT","IDX2015","M","1969-01",22.50142,
"AUT","INDPROD","TOT","IDX2015","M","1969-02",22.73632,
"AUT","INDPROD","TOT","IDX2015","M","1969-03",22.95576,
"AUT","INDPROD","TOT","IDX2015","M","1969-04",22.8997,
"AUT","INDPROD","TOT","IDX2015","M","1969-05",23.45485,
"AUT","INDPROD","TOT","IDX2015","M","1969-06",23.95394,
"AUT","INDPROD","TOT","IDX2015","M","1969-07",23.91837,
"AUT","INDPROD","TOT","IDX2015","M","1969-08",24.43324,
"AUT","INDPROD","TOT","IDX2015","M","1969-09",24.33501,
"AUT","INDPROD","TOT","IDX2015","M","1969-10",24.48871,
"AUT","INDPROD","TOT","IDX2015","M","1969-11",25.05597,
"AUT","INDPROD","TOT","IDX2015","M","1969-12",22.9413,
"AUT","INDPROD","TOT","IDX2015","M","1970-01",24.2517,
"AUT","INDPROD","TOT","IDX2015","M","1970-02",25.23487,
"AUT","INDPROD","TOT","IDX2015","M","1970-03",25.22586,
"AUT","INDPROD","TOT","IDX2015","M","1970-04",25.40552,
"AUT","INDPROD","TOT","IDX2015","M","1970-05",26.27354,
"AUT","INDPROD","TOT","IDX2015","M","1970-06",25.55323,
"AUT","INDPROD","TOT","IDX2015","M","1970-07",25.96447,
"AUT","INDPROD","TOT","IDX2015","M","1970-08",26.32519,
"AUT","INDPROD","TOT","IDX2015","M","1970-09",26.18782,
"AUT","INDPROD","TOT","IDX2015","M","1970-10",26.42126,
"AUT","INDPROD","TOT","IDX2015","M","1970-11",26.65949,
"AUT","INDPROD","TOT","IDX2015","M","1970-12",25.23899,
"AUT","INDPROD","TOT","IDX2015","M","1971-01",27.59701,
"AUT","INDPROD","TOT","IDX2015","M","1971-02",27.13052,
"AUT","INDPROD","TOT","IDX2015","M","1971-03",26.7422,
"AUT","INDPROD","TOT","IDX2015","M","1971-04",27.05387,
"AUT","INDPROD","TOT","IDX2015","M","1971-05",27.48389,
"AUT","INDPROD","TOT","IDX2015","M","1971-06",26.99921,
"AUT","INDPROD","TOT","IDX2015","M","1971-07",27.214,
"AUT","INDPROD","TOT","IDX2015","M","1971-08",27.31601,
"AUT","INDPROD","TOT","IDX2015","M","1971-09",27.36803,
"AUT","INDPROD","TOT","IDX2015","M","1971-10",27.70644,
"AUT","INDPROD","TOT","IDX2015","M","1971-11",27.31853,
"AUT","INDPROD","TOT","IDX2015","M","1971-12",27.97293,
"AUT","INDPROD","TOT","IDX2015","M","1972-01",28.54475,
"AUT","INDPROD","TOT","IDX2015","M","1972-02",27.64446,
"AUT","INDPROD","TOT","IDX2015","M","1972-03",28.36251,
"AUT","INDPROD","TOT","IDX2015","M","1972-04",28.85768,
"AUT","INDPROD","TOT","IDX2015","M","1972-05",28.49729,
"AUT","INDPROD","TOT","IDX2015","M","1972-06",28.81991,
"AUT","INDPROD","TOT","IDX2015","M","1972-07",29.1647,
"AUT","INDPROD","TOT","IDX2015","M","1972-08",29.28397,
"AUT","INDPROD","TOT","IDX2015","M","1972-09",29.60884,
"AUT","INDPROD","TOT","IDX2015","M","1972-10",30.45136,
"AUT","INDPROD","TOT","IDX2015","M","1972-11",30.33303,
"AUT","INDPROD","TOT","IDX2015","M","1972-12",33.88287,
"AUT","INDPROD","TOT","IDX2015","M","1973-01",29.62538,
"AUT","INDPROD","TOT","IDX2015","M","1973-02",30.09239,
"AUT","INDPROD","TOT","IDX2015","M","1973-03",30.23045,
"AUT","INDPROD","TOT","IDX2015","M","1973-04",30.6547,
"AUT","INDPROD","TOT","IDX2015","M","1973-05",30.66994,
"AUT","INDPROD","TOT","IDX2015","M","1973-06",31.11768,
"AUT","INDPROD","TOT","IDX2015","M","1973-07",30.9135,
"AUT","INDPROD","TOT","IDX2015","M","1973-08",31.24445,
"AUT","INDPROD","TOT","IDX2015","M","1973-09",31.67014,
"AUT","INDPROD","TOT","IDX2015","M","1973-10",31.45963,
"AUT","INDPROD","TOT","IDX2015","M","1973-11",31.06054,
"AUT","INDPROD","TOT","IDX2015","M","1973-12",32.78197,
"AUT","INDPROD","TOT","IDX2015","M","1974-01",32.29432,
"AUT","INDPROD","TOT","IDX2015","M","1974-02",32.7541,
"AUT","INDPROD","TOT","IDX2015","M","1974-03",33.03989,
"AUT","INDPROD","TOT","IDX2015","M","1974-04",32.70477,
"AUT","INDPROD","TOT","IDX2015","M","1974-05",32.41691,
"AUT","INDPROD","TOT","IDX2015","M","1974-06",33.61223,
"AUT","INDPROD","TOT","IDX2015","M","1974-07",32.97339,
"AUT","INDPROD","TOT","IDX2015","M","1974-08",32.73002,
"AUT","INDPROD","TOT","IDX2015","M","1974-09",32.69908,
"AUT","INDPROD","TOT","IDX2015","M","1974-10",31.98829,
"AUT","INDPROD","TOT","IDX2015","M","1974-11",31.92711,
"AUT","INDPROD","TOT","IDX2015","M","1974-12",31.16493,
"AUT","INDPROD","TOT","IDX2015","M","1975-01",30.98806,
"AUT","INDPROD","TOT","IDX2015","M","1975-02",31.57083,
"AUT","INDPROD","TOT","IDX2015","M","1975-03",30.79498,
"AUT","INDPROD","TOT","IDX2015","M","1975-04",30.42833,
"AUT","INDPROD","TOT","IDX2015","M","1975-05",30.01837,
"AUT","INDPROD","TOT","IDX2015","M","1975-06",29.94834,
"AUT","INDPROD","TOT","IDX2015","M","1975-07",29.89228,
"AUT","INDPROD","TOT","IDX2015","M","1975-08",30.31997,
"AUT","INDPROD","TOT","IDX2015","M","1975-09",29.90039,
"AUT","INDPROD","TOT","IDX2015","M","1975-10",29.74793,
"AUT","INDPROD","TOT","IDX2015","M","1975-11",30.75124,
"AUT","INDPROD","TOT","IDX2015","M","1975-12",31.5563,
"AUT","INDPROD","TOT","IDX2015","M","1976-01",31.11079,
"AUT","INDPROD","TOT","IDX2015","M","1976-02",31.3419,
"AUT","INDPROD","TOT","IDX2015","M","1976-03",31.28994,
"AUT","INDPROD","TOT","IDX2015","M","1976-04",30.94849,
"AUT","INDPROD","TOT","IDX2015","M","1976-05",32.2596,
"AUT","INDPROD","TOT","IDX2015","M","1976-06",32.13709,
"AUT","INDPROD","TOT","IDX2015","M","1976-07",32.24718,
"AUT","INDPROD","TOT","IDX2015","M","1976-08",32.38924,
"AUT","INDPROD","TOT","IDX2015","M","1976-09",33.14962,
"AUT","INDPROD","TOT","IDX2015","M","1976-10",33.33341,
"AUT","INDPROD","TOT","IDX2015","M","1976-11",32.95818,
"AUT","INDPROD","TOT","IDX2015","M","1976-12",33.3586,
"AUT","INDPROD","TOT","IDX2015","M","1977-01",33.13113,
"AUT","INDPROD","TOT","IDX2015","M","1977-02",33.14233,
"AUT","INDPROD","TOT","IDX2015","M","1977-03",33.71093,
"AUT","INDPROD","TOT","IDX2015","M","1977-04",33.76102,
"AUT","INDPROD","TOT","IDX2015","M","1977-05",33.55208,
"AUT","INDPROD","TOT","IDX2015","M","1977-06",33.28191,
"AUT","INDPROD","TOT","IDX2015","M","1977-07",33.91478,
"AUT","INDPROD","TOT","IDX2015","M","1977-08",33.38802,
"AUT","INDPROD","TOT","IDX2015","M","1977-09",33.05494,
"AUT","INDPROD","TOT","IDX2015","M","1977-10",34.53801,
"AUT","INDPROD","TOT","IDX2015","M","1977-11",33.69014,
"AUT","INDPROD","TOT","IDX2015","M","1977-12",32.76419,
"AUT","INDPROD","TOT","IDX2015","M","1978-01",33.9782,
"AUT","INDPROD","TOT","IDX2015","M","1978-02",33.7351,
"AUT","INDPROD","TOT","IDX2015","M","1978-03",33.45155,
"AUT","INDPROD","TOT","IDX2015","M","1978-04",34.8771,
"AUT","INDPROD","TOT","IDX2015","M","1978-05",33.83431,
"AUT","INDPROD","TOT","IDX2015","M","1978-06",33.77712,
"AUT","INDPROD","TOT","IDX2015","M","1978-07",34.40742,
"AUT","INDPROD","TOT","IDX2015","M","1978-08",34.32346,
"AUT","INDPROD","TOT","IDX2015","M","1978-09",35.06595,
"AUT","INDPROD","TOT","IDX2015","M","1978-10",34.88866,
"AUT","INDPROD","TOT","IDX2015","M","1978-11",34.88531,
"AUT","INDPROD","TOT","IDX2015","M","1978-12",35.64429,
"AUT","INDPROD","TOT","IDX2015","M","1979-01",35.6253,
"AUT","INDPROD","TOT","IDX2015","M","1979-02",35.54116,
"AUT","INDPROD","TOT","IDX2015","M","1979-03",35.96687,
"AUT","INDPROD","TOT","IDX2015","M","1979-04",36.08667,
"AUT","INDPROD","TOT","IDX2015","M","1979-05",36.09446,
"AUT","INDPROD","TOT","IDX2015","M","1979-06",37.14607,
"AUT","INDPROD","TOT","IDX2015","M","1979-07",37.51504,
"AUT","INDPROD","TOT","IDX2015","M","1979-08",37.57835,
"AUT","INDPROD","TOT","IDX2015","M","1979-09",37.94228,
"AUT","INDPROD","TOT","IDX2015","M","1979-10",37.23288,
"AUT","INDPROD","TOT","IDX2015","M","1979-11",37.06062,
"AUT","INDPROD","TOT","IDX2015","M","1979-12",40.09808,
"AUT","INDPROD","TOT","IDX2015","M","1980-01",38.0074,
"AUT","INDPROD","TOT","IDX2015","M","1980-02",37.79581,
"AUT","INDPROD","TOT","IDX2015","M","1980-03",39.25613,
"AUT","INDPROD","TOT","IDX2015","M","1980-04",37.99491,
"AUT","INDPROD","TOT","IDX2015","M","1980-05",37.89579,
"AUT","INDPROD","TOT","IDX2015","M","1980-06",38.35198,
"AUT","INDPROD","TOT","IDX2015","M","1980-07",37.13186,
"AUT","INDPROD","TOT","IDX2015","M","1980-08",38.16319,
"AUT","INDPROD","TOT","IDX2015","M","1980-09",36.99366,
"AUT","INDPROD","TOT","IDX2015","M","1980-10",37.63947,
"AUT","INDPROD","TOT","IDX2015","M","1980-11",38.01368,
"AUT","INDPROD","TOT","IDX2015","M","1980-12",38.67799,
"AUT","INDPROD","TOT","IDX2015","M","1981-01",36.93899,
"AUT","INDPROD","TOT","IDX2015","M","1981-02",37.76828,
"AUT","INDPROD","TOT","IDX2015","M","1981-03",37.80509,
"AUT","INDPROD","TOT","IDX2015","M","1981-04",37.58065,
"AUT","INDPROD","TOT","IDX2015","M","1981-05",37.4329,
"AUT","INDPROD","TOT","IDX2015","M","1981-06",36.9657,
"AUT","INDPROD","TOT","IDX2015","M","1981-07",37.01767,
"AUT","INDPROD","TOT","IDX2015","M","1981-08",37.1344,
"AUT","INDPROD","TOT","IDX2015","M","1981-09",37.24337,
"AUT","INDPROD","TOT","IDX2015","M","1981-10",37.46587,
"AUT","INDPROD","TOT","IDX2015","M","1981-11",37.36123,
"AUT","INDPROD","TOT","IDX2015","M","1981-12",37.47001,
"AUT","INDPROD","TOT","IDX2015","M","1982-01",38.72327,
"AUT","INDPROD","TOT","IDX2015","M","1982-02",37.9203,
"AUT","INDPROD","TOT","IDX2015","M","1982-03",37.39083,
"AUT","INDPROD","TOT","IDX2015","M","1982-04",37.20888,
"AUT","INDPROD","TOT","IDX2015","M","1982-05",37.75434,
"AUT","INDPROD","TOT","IDX2015","M","1982-06",37.21776,
"AUT","INDPROD","TOT","IDX2015","M","1982-07",37.42527,
"AUT","INDPROD","TOT","IDX2015","M","1982-08",36.67572,
"AUT","INDPROD","TOT","IDX2015","M","1982-09",36.65138,
"AUT","INDPROD","TOT","IDX2015","M","1982-10",36.66245,
