date,pb_price
1993-07-01,391.8
1993-08-01,383.0
1993-09-01,364.9
1993-10-01,399.7
1993-11-01,421.7
1993-12-01,474.8
1994-01-01,504.9
1994-02-01,471.3
1994-03-01,447.9
1994-04-01,449.8
1994-05-01,504.0
1994-06-01,545.1
1994-07-01,585.8
1994-08-01,593.5
1994-09-01,621.3
1994-10-01,653.5
1994-11-01,636.5
1994-12-01,654.5
1995-01-01,644.7
1995-02-01,558.9
1995-03-01,593.3
1995-04-01,612.3
1995-05-01,608.0
1995-06-01,619.7
1995-07-01,623.5
1995-08-01,609.3
1995-09-01,603.5
1995-10-01,696.0
1995-11-01,737.3
1995-12-01,714.0
1996-01-01,752.0
1996-02-01,769.0
1996-03-01,814.0
1996-04-01,799.0
1996-05-01,823.0
1996-06-01,788.3
1996-07-01,805.8
1996-08-01,812.5
1996-09-01,751.0
1996-10-01,750.5
1996-11-01,677.0
1996-12-01,696.5
1997-01-01,661.0
1997-02-01,715.0
1997-03-01,696.3
1997-04-01,612.8
1997-05-01,624.0
1997-06-01,613.5
1997-07-01,619.25
1997-08-01,643.25
1997-09-01,638.75
1997-10-01,593.75
1997-11-01,531.1
1997-12-01,559.75
1998-01-01,518.0
1998-02-01,547.5
1998-03-01,570.25
1998-04-01,547.5
1998-05-01,550.0
1998-06-01,548.0
1998-07-01,545.75
1998-08-01,532.25
1998-09-01,516.0
1998-10-01,478.0
1998-11-01,498.5
1998-12-01,495.5
1999-01-01,486.0
1999-02-01,521.25
1999-03-01,507.5
1999-04-01,539.25
1999-05-01,492.75
1999-06-01,488.0
1999-07-01,490.0
1999-08-01,523.75
1999-09-01,501.5
1999-10-01,491.0
1999-11-01,490.75
1999-12-01,478.5
2000-01-01,462.0
2000-02-01,442.75
2000-03-01,437.5
2000-04-01,412.0
2000-05-01,414.0
2000-06-01,437.0
2000-07-01,472.0
2000-08-01,462.5
2000-09-01,506.0
2000-10-01,497.5
2000-11-01,467.25
2000-12-01,474.25
2001-01-01,509.0
2001-02-01,517.0
2001-03-01,479.0
2001-04-01,467.5
2001-05-01,462.5
2001-06-01,441.0
2001-07-01,493.5
2001-08-01,473.95
2001-09-01,454.5
2001-10-01,473.75
2001-11-01,497.0
2001-12-01,501.0
2002-01-01,488.0
2002-02-01,483.5
2002-03-01,485.25
2002-04-01,462.5
2002-05-01,447.85
2002-06-01,452.0
2002-07-01,426.25
2002-08-01,437.25
2002-09-01,405.75
2002-10-01,436.5
2002-11-01,467.5
2002-12-01,425.5
2003-01-01,464.5
2003-02-01,464.0
2003-03-01,439.75
2003-04-01,457.0
2003-05-01,467.75
2003-06-01,485.5
2003-07-01,523.0
2003-08-01,501.25
2003-09-01,546.0
2003-10-01,658.5
2003-11-01,649.0
2003-12-01,736.0
2004-01-01,788.0
